stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;201602;2.8;91;743.2;3.8;-14.9;-6.7;104;323.0;75.7;351;89.3;30;10.0;83;5.3
SAE;201603;2.6;171;743.9;3.7;-15.5;-7.0;65;180.6;70.9;411;164.9;46;6.2;62;5.3
SAE;201604;3.8;219;746.4;6.9;-13.4;-3.0;79;192.0;78.3;389;143.1;36;5.9;76;5.1
SAE;201605;5.1;236;749.6;8.9;-9.5;-0.1;106;490.4;82.9;421;146.1;32;5.4;74;11.7
SAE;201606;7.4;210;753.7;17.4;-2.2;3.8;19;349.1;92.0;264;86.7;19;4.7;86;8.1
SAE;201607;8.7;238;758.5;16.8;-2.9;6.9;15;276.0;87.0;67;158.7;35;4.7;72;14.7
SAE;201608;8.0;217;759.6;17.2;-3.0;7.2;4;230.8;80.4;0;193.9;46;4.4;61;2.4
SAE;201609;7.1;170;757.7;13.8;-0.7;5.5;0;169.4;78.8;0;177.8;49;4.1;54;7.6
SAE;201610;4.3;109;753.3;9.5;-8.7;-0.8;26;109.6;75.9;3;123.1;37;5.2;69;2.2
SAE;201611;3.4;60;747.7;5.3;-13.9;-3.7;91;166.0;70.3;44;79.8;29;8.1;74;4.4
SAE;201612;2.3;73;758.0;4.7;-9.8;-2.7;12;15.4;47.7;27;203.3;79;6.6;30;2.0
SAE;201701;1.7;77;747.5;-0.9;-22.2;-9.1;206;347.2;57.6;122;148.1;54;7.2;50;4.8
SAE;201702;2.8;112;748.1;2.2;-12.7;-5.0;72;180.1;67.8;229;140.9;49;7.1;60;7.2
SAE;201703;3.5;172;750.1;5.0;-12.1;-2.6;92;417.5;68.7;289;192.7;53;7.7;62;3.3
SAE;201704;3.7;220;750.6;4.5;-14.4;-3.8;111;183.8;78.7;222;156.6;40;5.9;68;4.8
